iter	MultiClass
0	1.416847131
1	1.199537107
2	1.04628548
3	0.9310922107
4	0.8397326835
5	0.7651506328
6	0.7032339628
7	0.6507989755
8	0.6060499658
9	0.5676363104
10	0.5341769294
11	0.5052439156
12	0.4793711208
13	0.4569324961
14	0.4367000722
15	0.4187896364
16	0.402745809
17	0.3883386294
18	0.3758327173
19	0.3644624032
20	0.3540066396
21	0.3438291911
22	0.3347969486
23	0.3261673622
24	0.3190041118
25	0.3126384795
26	0.3059450844
27	0.3009751888
28	0.2960061106
29	0.2908466376
30	0.2867712054
31	0.2830493748
32	0.2793339248
33	0.2763281447
34	0.2731014954
35	0.2702567142
36	0.2671610949
37	0.2647233701
38	0.2625867379
39	0.2598165984
40	0.2577742553
41	0.255357166
42	0.2536784165
43	0.2521327028
44	0.2506229866
45	0.2487912156
46	0.2473965274
47	0.2459492629
48	0.2446895389
49	0.2428481021
50	0.2419850961
51	0.2405189274
52	0.2392078801
53	0.2383376814
54	0.2369567362
55	0.2361589054
56	0.2345444402
57	0.2335103306
58	0.2327285616
59	0.2316173183
60	0.2306716899
61	0.229735869
62	0.2289550279
63	0.2282976108
64	0.2277815283
65	0.2272501635
66	0.2264104189
67	0.225399986
68	0.2244988096
69	0.2239834695
70	0.223447931
71	0.2226354704
72	0.2221831415
73	0.2210780603
74	0.2204136327
75	0.219687574
76	0.219274078
77	0.2187745049
78	0.2182347699
79	0.2175690444
80	0.2169188641
81	0.2162128913
82	0.2155444174
83	0.2148429827
84	0.2139377448
85	0.21332518
86	0.2126898433
87	0.2120119639
88	0.2116714874
89	0.2111623516
90	0.2107463106
91	0.210478117
92	0.2099292422
93	0.2093022238
94	0.2087652801
95	0.2081063065
96	0.2078952705
97	0.2072192117
98	0.2068341195
99	0.2065319131
100	0.2058747772
101	0.2054560968
102	0.2049672121
103	0.2046072328
104	0.2039887627
105	0.2036061938
106	0.2033299685
107	0.2030327897
108	0.2026434805
109	0.2023152788
110	0.2017300925
111	0.2014382216
112	0.2011069513
113	0.2008991823
114	0.2003590247
115	0.2000440298
116	0.199857277
117	0.1994600239
118	0.199065811
119	0.1987975297
120	0.1984170178
121	0.1980269855
122	0.1976477823
123	0.1971094336
124	0.1968396122
125	0.1964683104
126	0.1961620558
127	0.1957392646
128	0.1952599817
129	0.1949372742
130	0.1945820289
131	0.1942040047
132	0.1939790322
133	0.1938097309
134	0.1936364855
135	0.1933945664
136	0.192812533
137	0.1924710798
138	0.1921520582
139	0.1919305573
140	0.1916440864
141	0.1913840976
142	0.1912368039
143	0.1908783894
144	0.1905337855
145	0.1902129477
146	0.1899934528
147	0.1897493071
148	0.1893953063
149	0.1891723718
150	0.1889488438
151	0.1887248534
152	0.1884517243
153	0.1881695982
154	0.1877776129
155	0.1874078174
156	0.1872314191
157	0.1868920516
158	0.1867136556
159	0.1864357511
160	0.1862449846
161	0.1860650348
162	0.1859537264
163	0.1856626432
164	0.1853141355
165	0.1851702451
166	0.1849799613
167	0.1847635911
168	0.1845859368
169	0.1843460143
170	0.1840862243
171	0.1839338821
172	0.1836330233
173	0.1833545761
174	0.1832093829
175	0.1830534743
176	0.1828246531
177	0.1827004924
178	0.1824657605
179	0.1822461609
180	0.1820543375
181	0.1819373147
182	0.181693643
183	0.1815317624
184	0.1813160093
185	0.1810840191
186	0.1809911393
187	0.1806690397
188	0.1804722848
189	0.180229665
190	0.1798307219
191	0.179604169
192	0.1793728466
193	0.1792034915
194	0.1788658312
195	0.1785856071
196	0.178469746
197	0.1783692562
198	0.1781484227
199	0.1779077959
