iter	Passed	Remaining
0	1083	215594
1	2014	199409
2	2933	192610
3	3805	186470
4	4683	182669
5	5581	180474
6	6501	179259
7	7408	177805
8	8303	176212
9	9167	174184
10	10025	172264
11	10892	170642
12	11809	169880
13	12650	168064
14	13542	167027
15	14454	166222
16	15424	166040
17	16261	164419
18	17187	163731
19	18190	163716
20	19016	162096
21	19903	161037
22	20808	160136
23	21619	158539
24	22511	157581
25	23430	156806
26	24290	155637
27	25208	154849
28	26083	153800
29	26934	152629
30	27786	151480
31	28625	150282
32	29499	149286
33	30377	148316
34	31342	147759
35	32219	146775
36	33067	145675
37	33950	144734
38	34803	143676
39	35638	142552
40	36460	141397
41	37304	140335
42	38217	139536
43	39106	138651
44	39963	137652
45	40757	136450
46	41573	135333
47	42382	134212
48	43178	133059
49	43981	131944
50	44815	130930
51	45688	130036
52	46548	129107
53	47457	128310
54	48266	127249
55	49110	126284
56	49930	125264
57	50747	124244
58	51521	123126
59	52366	122188
60	53217	121266
61	54088	120389
62	54934	119461
63	55730	118426
64	56568	117488
65	57421	116583
66	58253	115638
67	59167	114854
68	59985	113884
69	60794	112903
70	61608	111936
71	62510	111129
72	63337	110189
73	64217	109343
74	65081	108468
75	65958	107615
76	66825	106746
77	67642	105799
78	68501	104920
79	69385	104078
80	70211	103149
81	71063	102261
82	71895	101346
83	72720	100424
84	73508	99452
85	74341	98545
86	75150	97609
87	75964	96682
88	76825	95815
89	77646	94901
90	78485	94010
91	79324	93120
92	80117	92177
93	80929	91260
94	81734	90337
95	82596	89479
96	83410	88569
97	84287	87727
98	85225	86947
99	86098	86098
100	86909	85188
101	87765	84323
102	88611	83449
103	89424	82545
104	90245	81650
105	91054	80746
106	91926	79898
107	92757	79015
108	93592	78137
109	94442	77270
110	95304	76415
111	96101	75508
112	96962	74652
113	97784	73767
114	98635	72904
115	99418	71992
116	100304	71156
117	101147	70288
118	102007	69433
119	102844	68562
120	103668	67684
121	104495	66808
122	105275	65903
123	106102	65030
124	107028	64216
125	107836	63332
126	108654	62455
127	109507	61597
128	110389	60756
129	111222	59889
130	112048	59017
131	112870	58145
132	113709	57282
133	114543	56416
134	115363	55545
135	116236	54699
136	117127	53861
137	117976	53003
138	118835	52150
139	119656	51281
140	120493	50419
141	121321	49553
142	122131	48681
143	122964	47819
144	123787	46953
145	124640	46099
146	125467	45236
147	126326	44384
148	127174	43529
149	128016	42672
150	128848	41811
151	129694	40956
152	130540	40100
153	131356	39236
154	132180	38374
155	133020	37518
156	133829	36653
157	134770	35824
158	135565	34957
159	136379	34094
160	137191	33232
161	138050	32382
162	138926	31535
163	139788	30685
164	140730	29852
165	141520	28986
166	142345	28128
167	143169	27270
168	144025	26418
169	144902	25571
170	145772	24721
171	146692	23880
172	147551	23028
173	148462	22183
174	149275	21325
175	150104	20468
176	150935	19613
177	151743	18754
178	152601	17902
179	153463	17051
180	154273	16194
181	155102	15339
182	155948	14487
183	156823	13636
184	157712	12787
185	158533	11932
186	159318	11075
187	160129	10221
188	160936	9366
189	161755	8513
190	162585	7661
191	163493	6812
192	164309	5959
193	165141	5107
194	165968	4255
195	166807	3404
196	167601	2552
197	168432	1701
198	169288	850
199	170099	0
